,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
388,University of Massachusetts-Dartmouth,"North Dartmouth, MA","
                  61.31
              ","
                  75%
              ","
                  $33,800
              ","
                  $21,800
              ","
                  73%
              ","
                  55%
              ","
                  $60,710
              ","$15,690",1090/22,No,"6,230",91%,81%,14%,"$5,100",4.4 years,"$25,500",71%
389,Carroll College,"Helena, MT","
                  61.28
              ","
                  69%
              ","
                  $53,400
              ","
                  $25,400
              ","
                  96%
              ","
                  68%
              ","
                  $57,150
              ","$15,990",1180/24,No,"1,170",98%,80%,34%,"$17,780",4.3 years,"$25,602",71%
390,Northeastern State University,"Tahlequah, OK","
                  61.25
              ","
                  100%
              ","
                  $19,100
              ","
                  $10,300
              ","
                  77%
              ","
                  34%
              ","
                  $40,170
              ","$8,090",1000/21,Yes,"5,870",85%,90%,5%,"$2,770",4.6 years,"$17,500",60%
391,University of Tulsa,"Tulsa, OK","
                  61.21
              ","
                  36%
              ","
                  $65,600
              ","
                  $26,800
              ","
                  94%
              ","
                  73%
              ","
                  $54,630
              ","$19,530",1230/28,No,"3,230",94%,66%,3%,"$13,130",4.2 years,"$23,250",73%
392,St. Bonaventure University,"Saint Bonaventure, NY","
                  61.12
              ","
                  75%
              ","
                  $54,300
              ","
                  $25,100
              ","
                  96%
              ","
                  68%
              ","
                  $57,840
              ","$13,560",1140/23,Yes,"1,790",99%,70%,17%,"$14,160",4.1 years,"$26,000",76%
393,Transylvania University,"Lexington, KY","
                  61.08
              ","
                  90%
              ","
                  $58,200
              ","
                  $27,500
              ","
                  99%
              ","
                  75%
              ","
                  $49,990
              ","$22,180",1220/27,No,950,100%,78%,27%,"$20,510",4.1 years,"$27,000",63%
394,Texas Tech University,"Lubbock, TX","
                  60.97
              ","
                  69%
              ","
                  $27,900
              ","
                  $16,300
              ","
                  70%
              ","
                  59%
              ","
                  $58,440
              ","$9,030",1170/25,No,"31,170",87%,52%,19%,"$4,170",4.5 years,"$22,000",75%
395,Lawrence University,"Appleton, WI","
                  60.92
              ","
                  62%
              ","
                  $66,100
              ","
                  $28,100
              ","
                  98%
              ","
                  81%
              ","
                  $48,850
              ","$12,920",1320/29,No,"1,430",100%,95%,35%,"$27,670",4.2 years,"$25,947",60%
396,University of Hawaii at Manoa,"Honolulu, HI","
                  60.84
              ","
                  58%
              ","
                  $30,700
              ","
                  $16,000
              ","
                  58%
              ","
                  59%
              ","
                  $52,860
              ","$10,120",1170/24,No,"12,260",97%,72%,27%,"$12,320",4.5 years,"$18,575",71%
397,Cabrini University,"Radnor, PA","
                  60.83
              ","
                  76%
              ","
                  $51,100
              ","
                  $23,100
              ","
                  95%
              ","
                  68%
              ","
                  $53,140
              ","$16,580",1090/23,No,"1,510",100%,N/A,17%,"$10,210",4.2 years,"$27,000",72%
